,2,5,10,20,30,40
0,66.69,71.56,84.9,68.15,71.71,77.83
1,86.13,84.93,83.04,81.16,86.88,81.21
2,86.98,87.38,86.71,86.86,87.68,85.18
3,89.79,89.39,92.63,90.22,88.81,91.35
4,88.74,91.05,90.87,87.94,90.22,89.64
5,89.29,86.88,90.39,91.4,91.17,88.99
6,89.42,89.69,92.0,90.09,90.87,90.95
7,90.02,90.22,90.95,90.69,89.27,91.4
8,91.4,90.9,91.87,91.37,90.77,91.67
9,90.27,91.7,91.65,92.12,91.67,89.97
10,68.66,72.28,73.5,85.22,73.37,71.74
11,80.15,80.04,84.13,83.06,86.78,82.53
12,83.12,84.49,82.14,85.31,83.77,84.17
13,86.63,87.07,85.2,88.68,86.5,88.53
14,88.96,87.61,88.1,87.54,87.38,86.49
15,88.15,86.56,86.41,88.4,88.83,88.48
16,89.3,88.28,88.22,90.24,88.69,88.87
17,87.02,89.01,89.62,90.14,87.68,88.97
18,88.87,88.35,89.15,89.4,89.01,89.32
19,89.52,88.19,88.51,90.25,88.62,89.42
20,78.1,74.64,70.53,75.45,78.03,73.16
21,78.53,83.07,86.03,82.87,84.85,84.27
22,83.95,87.86,87.79,89.04,85.15,86.68
23,87.89,89.24,87.84,90.74,89.42,88.16
24,90.14,88.81,89.62,89.82,89.67,91.22
25,90.77,88.71,92.12,90.85,90.92,91.37
26,88.66,91.95,88.81,91.4,91.87,88.64
27,89.59,89.77,92.25,89.79,92.17,89.44
28,90.42,90.69,91.15,91.0,90.74,89.67
29,89.77,90.12,92.7,91.85,91.47,91.05
30,72.46,72.9,71.81,71.05,71.94,68.96
31,79.74,82.57,82.49,80.19,80.77,79.49
32,83.0,85.78,85.94,87.37,82.62,84.5
33,86.14,84.12,86.71,89.35,88.51,85.04
34,86.76,87.2,88.4,85.99,88.15,87.33
35,89.13,87.96,87.75,88.95,87.54,86.75
36,87.6,86.75,88.88,88.49,88.31,87.21
37,88.32,89.52,88.42,88.82,89.37,88.77
38,88.23,89.42,89.01,89.57,89.19,89.19
39,89.76,89.29,88.91,90.2,89.88,88.74
