,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max
0,Unnamed: 0.1.1,1923.0,4398.875,4398.875,9627.75,9627.75,14515.625,14515.625,18602.5,18602.5,23701.375,23701.375,25820.25,25820.25,27528.125,27528.125,31534.0,31534.0,35957.875,35957.875,39968.75,39968.75,41960.625,41960.625,43487.5,43487.5,48448.375,48448.375,52878.25,52878.25,55153.125,55153.125,58934.0
1,total_cases_per_million,0.103,46.428999999999995,46.428999999999995,156.32325,156.32325,286.517375,286.517375,470.4755,470.4755,697.2983750000001,697.2983750000001,1048.19775,1048.19775,1481.0688750000002,1481.0688750000002,2006.401,2006.401,2940.141,2940.141,4064.37325,4064.37325,5280.586,5280.586,7364.2045,7364.2045,10792.426625,10792.426625,16933.7125,16933.7125,28819.2635,28819.2635,74148.21
2,new_cases_per_million,0.0,0.279,0.279,1.107,1.107,2.304,2.304,4.008,4.008,6.665125,6.665125,10.45075,10.45075,14.735375,14.735375,20.383,20.383,28.877,28.877,40.23725,40.23725,56.282,56.282,79.481,79.481,113.845,113.845,176.48675,176.48675,308.302875,308.302875,3142.293
3,total_deaths_per_million,0.003,0.754,0.754,2.70725,2.70725,5.069125,5.069125,8.483,8.483,14.130875,14.130875,21.692,21.692,33.0625,33.0625,47.31,47.31,61.797375,61.797375,81.63475000000001,81.63475000000001,113.06524999999999,113.06524999999999,171.32999999999998,171.32999999999998,238.596,238.596,378.4235,378.4235,648.7303750000001,648.7303750000001,1715.587
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053000000000000005,0.053000000000000005,0.111,0.111,0.196,0.196,0.294,0.294,0.441,0.441,0.67,0.67,0.937,0.937,1.395,1.395,2.177,2.177,3.43125,3.43125,6.191,6.191,141.865
5,reproduction_rate,0.0,0.0,0.0,0.73,0.73,0.8400000000000001,0.8400000000000001,0.9,0.9,0.95,0.95,0.99,0.99,1.03,1.03,1.06,1.06,1.1,1.1,1.13,1.13,1.17,1.17,1.22,1.22,1.28,1.28,1.36,1.36,1.51,1.51,6.74
6,total_tests_per_thousand,0.001,1.1528749999999999,1.1528749999999999,3.328,3.328,6.642625,6.642625,10.592500000000001,10.592500000000001,14.984125,14.984125,20.81125,20.81125,29.196125000000002,29.196125000000002,40.769,40.769,56.29925,56.29925,75.0285,75.0285,101.90337500000001,101.90337500000001,143.1975,143.1975,197.78224999999998,197.78224999999998,280.27575,280.27575,460.766625,460.766625,2690.98
7,new_tests_per_thousand,0.0,0.031,0.031,0.057,0.057,0.092,0.092,0.14,0.14,0.209,0.209,0.29125,0.29125,0.383,0.383,0.508,0.508,0.643,0.643,0.859,0.859,1.129,1.129,1.445,1.445,1.88,1.88,2.57225,2.57225,4.124124999999999,4.124124999999999,28.716
8,positive_rate,0.0,0.003,0.003,0.007,0.007,0.011,0.011,0.016,0.016,0.022,0.022,0.029,0.029,0.038,0.038,0.049,0.049,0.062,0.062,0.078,0.078,0.1,0.1,0.127,0.127,0.165,0.165,0.217,0.217,0.296125,0.296125,0.991
9,tests_per_case,1.0,3.4,3.4,4.6,4.6,6.1,6.1,7.9,7.9,10.0,10.0,12.8,12.8,16.0125,16.0125,20.6,20.6,26.3,26.3,34.5,34.5,46.3,46.3,62.0,62.0,90.2,90.2,153.2,153.2,333.25,333.25,27035.0
10,stringency_index,0.0,36.11,36.11,42.59,42.59,47.22,47.22,50.93,50.93,53.7,53.7,58.33,58.33,62.04,62.04,65.74,65.74,69.44,69.44,72.22,72.22,75.0,75.0,79.17,79.17,81.48,81.48,84.26,84.26,90.74,90.74,100.0
11,population_density,3.202,10.202,10.202,17.144,17.144,24.282,24.282,43.951,43.951,55.133,55.133,73.726,73.726,83.479,83.479,102.619,102.619,109.285,109.285,126.719,126.719,145.725,145.725,214.243,214.243,255.573,255.573,341.955,341.955,450.419,450.419,1935.907
12,median_age,16.4,19.6,19.6,23.2,23.2,26.5,26.5,28.2,28.2,29.6,29.6,31.4,31.4,31.9,31.9,34.0,34.0,37.3,37.3,39.7,39.7,41.2,41.2,42.3,42.3,43.0,43.0,43.5,43.5,44.7,44.7,48.2
13,gdp_per_capita,1095.042,1899.775,1899.775,5034.708,5034.708,7423.808,7423.808,8827.01,8827.01,12236.706,12236.706,15663.986,15663.986,19082.62,19082.62,23313.199,23313.199,25129.341,25129.341,28763.071,28763.071,32415.132,32415.132,36513.323,36513.323,42658.576,42658.576,46682.515,46682.515,65530.537,65530.537,116935.6
