,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max,16_min,16_max,17_min,17_max,18_min,18_max,19_min,19_max,20_min,20_max,21_min,21_max,22_min,22_max,23_min,23_max,24_min,24_max,25_min,25_max,26_min,26_max,27_min,27_max,28_min,28_max,29_min,29_max,30_min,30_max,31_min,31_max
0,Unnamed: 0.1.1,1923.0,3051.9375,3051.9375,4398.875,4398.875,6589.8125,6589.8125,9627.75,9627.75,12848.6875,12848.6875,14515.625,14515.625,17200.5625,17200.5625,18602.5,18602.5,21317.4375,21317.4375,23701.375,23701.375,24899.3125,24899.3125,25820.25,25820.25,26582.1875,26582.1875,27528.125,27528.125,29320.0625,29320.0625,31534.0,31534.0,33259.9375,33259.9375,35957.875,35957.875,37217.8125,37217.8125,39968.75,39968.75,41234.6875,41234.6875,41960.625,41960.625,42725.5625,42725.5625,43487.5,43487.5,46331.4375,46331.4375,48448.375,48448.375,49837.3125,49837.3125,52878.25,52878.25,54192.1875,54192.1875,55153.125,55153.125,56187.0625,56187.0625,58934.0
1,total_cases_per_million,0.103,15.502812500000001,15.502812500000001,46.428999999999995,46.428999999999995,91.12418749999999,91.12418749999999,156.32325,156.32325,232.9673125,232.9673125,286.517375,286.517375,368.36725,368.36725,470.4755,470.4755,571.729875,571.729875,697.2983750000001,697.2983750000001,855.5975000000001,855.5975000000001,1048.19775,1048.19775,1260.68625,1260.68625,1481.0688750000002,1481.0688750000002,1711.4295,1711.4295,2006.401,2006.401,2421.876,2421.876,2940.141,2940.141,3533.8198125000004,3533.8198125000004,4064.37325,4064.37325,4680.574875,4680.574875,5280.586,5280.586,6230.077375,6230.077375,7364.2045,7364.2045,8952.4920625,8952.4920625,10792.426625,10792.426625,13021.401625,13021.401625,16933.7125,16933.7125,22907.5234375,22907.5234375,28819.2635,28819.2635,37154.493875,37154.493875,74148.21
2,new_cases_per_million,0.0,0.009,0.009,0.279,0.279,0.621,0.621,1.107,1.107,1.7031250000000002,1.7031250000000002,2.304,2.304,3.0525625,3.0525625,4.008,4.008,5.17,5.17,6.665125,6.665125,8.449,8.449,10.45075,10.45075,12.495000000000001,12.495000000000001,14.735375,14.735375,17.3113125,17.3113125,20.383,20.383,24.3215625,24.3215625,28.877,28.877,34.293875,34.293875,40.23725,40.23725,47.47387500000001,47.47387500000001,56.282,56.282,66.996,66.996,79.481,79.481,94.2645,94.2645,113.845,113.845,142.3280625,142.3280625,176.48675,176.48675,224.497,224.497,308.302875,308.302875,493.505125,493.505125,3142.293
3,total_deaths_per_million,0.003,0.26,0.26,0.754,0.754,1.542,1.542,2.70725,2.70725,3.9399999999999995,3.9399999999999995,5.069125,5.069125,6.5338125,6.5338125,8.483,8.483,10.652,10.652,14.130875,14.130875,17.8619375,17.8619375,21.692,21.692,27.846062500000002,27.846062500000002,33.0625,33.0625,39.2671875,39.2671875,47.31,47.31,54.231,54.231,61.797375,61.797375,71.40537499999999,71.40537499999999,81.63475000000001,81.63475000000001,96.68743750000002,96.68743750000002,113.06524999999999,113.06524999999999,137.736625,137.736625,171.32999999999998,171.32999999999998,203.6474375,203.6474375,238.596,238.596,303.2160625,303.2160625,378.4235,378.4235,535.5674375000001,535.5674375000001,648.7303750000001,648.7303750000001,834.8815,834.8815,1715.587
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.053000000000000005,0.053000000000000005,0.08431250000000001,0.08431250000000001,0.111,0.111,0.15,0.15,0.196,0.196,0.238,0.238,0.294,0.294,0.354,0.354,0.441,0.441,0.538,0.538,0.67,0.67,0.776,0.776,0.937,0.937,1.151,1.151,1.395,1.395,1.722625,1.722625,2.177,2.177,2.679,2.679,3.43125,3.43125,4.579,4.579,6.191,6.191,9.585,9.585,141.865
5,reproduction_rate,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.73,0.73,0.8,0.8,0.8400000000000001,0.8400000000000001,0.88,0.88,0.9,0.9,0.9300000000000002,0.9300000000000002,0.95,0.95,0.97,0.97,0.99,0.99,1.01,1.01,1.03,1.03,1.04,1.04,1.06,1.06,1.08,1.08,1.1,1.1,1.12,1.12,1.13,1.13,1.15,1.15,1.17,1.17,1.19,1.19,1.22,1.22,1.25,1.25,1.28,1.28,1.31,1.31,1.36,1.36,1.42,1.42,1.51,1.51,1.68,1.68,6.74
6,total_tests_per_thousand,0.001,0.354,0.354,1.1528749999999999,1.1528749999999999,2.188875,2.188875,3.328,3.328,4.7946875,4.7946875,6.642625,6.642625,8.525,8.525,10.592500000000001,10.592500000000001,12.74875,12.74875,14.984125,14.984125,17.5411875,17.5411875,20.81125,20.81125,24.8311875,24.8311875,29.196125000000002,29.196125000000002,34.186187499999996,34.186187499999996,40.769,40.769,48.4165625,48.4165625,56.29925,56.29925,64.8641875,64.8641875,75.0285,75.0285,87.2070625,87.2070625,101.90337500000001,101.90337500000001,120.33768749999999,120.33768749999999,143.1975,143.1975,168.29706249999998,168.29706249999998,197.78224999999998,197.78224999999998,234.2809375,234.2809375,280.27575,280.27575,349.21856249999996,349.21856249999996,460.766625,460.766625,720.9639999999999,720.9639999999999,2690.98
7,new_tests_per_thousand,0.0,0.015,0.015,0.031,0.031,0.044,0.044,0.057,0.057,0.073,0.073,0.092,0.092,0.112,0.112,0.14,0.14,0.173,0.173,0.209,0.209,0.246,0.246,0.29125,0.29125,0.33999999999999997,0.33999999999999997,0.383,0.383,0.442,0.442,0.508,0.508,0.575,0.575,0.643,0.643,0.7488125,0.7488125,0.859,0.859,0.986,0.986,1.129,1.129,1.2725624999999998,1.2725624999999998,1.445,1.445,1.645,1.645,1.88,1.88,2.1703124999999996,2.1703124999999996,2.57225,2.57225,3.181,3.181,4.124124999999999,4.124124999999999,6.2800625000000005,6.2800625000000005,28.716
8,positive_rate,0.0,0.001,0.001,0.003,0.003,0.005,0.005,0.007,0.007,0.009,0.009,0.011,0.011,0.014,0.014,0.016,0.016,0.019,0.019,0.022,0.022,0.025,0.025,0.029,0.029,0.033,0.033,0.038,0.038,0.043,0.043,0.049,0.049,0.056,0.056,0.062,0.062,0.07,0.07,0.078,0.078,0.088,0.088,0.1,0.1,0.11456250000000001,0.11456250000000001,0.127,0.127,0.144,0.144,0.165,0.165,0.189,0.189,0.217,0.217,0.251,0.251,0.296125,0.296125,0.36806249999999996,0.36806249999999996,0.991
9,tests_per_case,1.0,2.7,2.7,3.4,3.4,4.0,4.0,4.6,4.6,5.3,5.3,6.1,6.1,6.9,6.9,7.9,7.9,8.7,8.7,10.0,10.0,11.4,11.4,12.8,12.8,14.400000000000002,14.400000000000002,16.0125,16.0125,18.0,18.0,20.6,20.6,23.4,23.4,26.3,26.3,30.18125,30.18125,34.5,34.5,39.7,39.7,46.3,46.3,53.9,53.9,62.0,62.0,72.8,72.8,90.2,90.2,113.63125,113.63125,153.2,153.2,210.9375,210.9375,333.25,333.25,727.0,727.0,27035.0
10,stringency_index,0.0,29.63,29.63,36.11,36.11,39.81,39.81,42.59,42.59,44.91,44.91,47.22,47.22,49.54,49.54,50.93,50.93,52.78,52.78,53.7,53.7,55.56,55.56,58.33,58.33,60.19,60.19,62.04,62.04,64.35,64.35,65.74,65.74,67.59,67.59,69.44,69.44,71.3,71.3,72.22,72.22,73.15,73.15,75.0,75.0,76.85,76.85,79.17,79.17,80.56,80.56,81.48,81.48,83.33,83.33,84.26,84.26,87.03999999999999,87.03999999999999,90.74,90.74,93.52,93.52,100.0
11,population_density,3.202,4.037,4.037,10.202,10.202,15.322,15.322,17.144,17.144,19.751,19.751,24.282,24.282,31.212000000000003,31.212000000000003,43.951,43.951,46.754,46.754,55.133,55.133,68.496,68.496,73.726,73.726,80.08,80.08,83.479,83.479,88.125,88.125,102.619,102.619,104.957,104.957,109.285,109.285,113.128,113.128,126.719,126.719,136.52,136.52,145.725,145.725,204.43,204.43,214.243,214.243,227.322,227.322,255.573,255.573,272.898,272.898,341.955,341.955,351.873,351.873,450.419,450.419,1265.036,1265.036,1935.907
12,median_age,16.4,18.1,18.1,19.6,19.6,20.0,20.0,23.2,23.2,25.2,25.2,26.5,26.5,27.5,27.5,28.2,28.2,29.299999999999997,29.299999999999997,29.6,29.6,29.9,29.9,31.4,31.4,31.9,31.9,31.9,31.9,32.4,32.4,34.0,34.0,35.6,35.6,37.3,37.3,38.7,38.7,39.7,39.7,40.8,40.8,41.2,41.2,41.8,41.8,42.3,42.3,42.587500000000006,42.587500000000006,43.0,43.0,43.4,43.4,43.5,43.5,44.39999999999999,44.39999999999999,44.7,44.7,47.9,47.9,48.2
13,gdp_per_capita,1095.042,1429.813,1429.813,1899.775,1899.775,3523.984,3523.984,5034.708,5034.708,6426.674,6426.674,7423.808,7423.808,7599.188,7599.188,8827.01,8827.01,11188.744,11188.744,12236.706,12236.706,14048.881,14048.881,15663.986,15663.986,18563.307,18563.307,19082.62,19082.62,22669.797,22669.797,23313.199,23313.199,24765.954,24765.954,25129.341,25129.341,26808.163999999997,26808.163999999997,28763.071,28763.071,30155.151999999995,30155.151999999995,32415.132,32415.132,35220.084,35220.084,36513.323,36513.323,39753.244,39753.244,42658.576,42658.576,44648.71,44648.71,46682.515,46682.515,57410.166,57410.166,65530.537,65530.537,67335.293,67335.293,116935.6
14,hospital_beds_per_thousand,0.2,0.5,0.5,0.6,0.6,0.7,0.7,0.9,0.9,1.04,1.04,1.2,1.2,1.3,1.3,1.38,1.38,1.4,1.4,1.6,1.6,1.71,1.71,2.0,2.0,2.11,2.11,2.3,2.3,2.5,2.5,2.6,2.6,2.8,2.8,2.96,2.96,3.18,3.18,3.39,3.39,3.5,3.5,3.84,3.84,4.5,4.5,4.53,4.53,5.0,5.0,5.609,5.609,5.82,5.82,6.62,6.62,7.02,7.02,7.454,7.454,11.0,11.0,13.05
15,life_expectancy,60.85,61.49,61.49,64.07,64.07,66.6,66.6,67.27,67.27,70.6,70.6,71.51,71.51,72.06,72.06,73.32,73.32,74.08,74.08,74.3,74.3,75.05,75.05,75.29,75.29,75.93,75.93,76.16,76.16,76.68,76.68,76.74,76.74,76.98,76.98,77.29,77.29,77.69,77.69,77.97,77.97,78.73,78.73,80.18,80.18,80.9,80.9,81.32,81.32,81.63,81.63,82.05,82.05,82.25,82.25,82.4,82.4,82.53,82.53,83.03,83.03,83.78,83.78,84.63
16,human_development_index,0.437,0.477,0.477,0.535,0.535,0.578,0.578,0.592,0.592,0.64,0.64,0.667,0.667,0.693,0.693,0.699,0.699,0.732,0.732,0.747,0.747,0.755,0.755,0.774,0.774,0.787,0.787,0.798,0.798,0.802,0.802,0.811,0.811,0.816,0.816,0.838,0.838,0.846,0.846,0.847,0.847,0.8560000000000001,0.8560000000000001,0.863,0.863,0.869,0.869,0.878,0.878,0.896,0.896,0.903,0.903,0.909,0.909,0.917,0.917,0.922,0.922,0.929,0.929,0.939,0.939,0.953
17,new_death_1_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42019402949328355,0.42019402949328355,0.5263157894736842,0.5263157894736842,0.6154752044725127,0.6154752044725127,0.7017543859649122,0.7017543859649122,0.7796281407859681,0.7796281407859681,0.8515465470410681,0.8515465470410681,0.9139784946236559,0.9139784946236559,0.9782608695652173,0.9782608695652173,1.0452838638555877,1.0452838638555877,1.1111111111111112,1.1111111111111112,1.1915255238030973,1.1915255238030973,1.2698001053810182,1.2698001053810182,1.3612900585680805,1.3612900585680805,1.4634146341463414,1.4634146341463414,1.5918367346938775,1.5918367346938775,1.7376855108964886,1.7376855108964886,1.923076923076923,1.923076923076923,2.1590909090909087,2.1590909090909087,2.5,2.5,3.0,3.0,3.8894189991518235,3.8894189991518235,6.000000000000003,6.000000000000003,30.000000000000032
