,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max
0,Unnamed: 0.1.1,1923.0,18602.5,18602.5,31534.0,31534.0,43487.5,43487.5,58934.0
1,total_cases_per_million,0.103,470.4755,470.4755,2006.401,2006.401,7364.2045,7364.2045,74148.21
2,new_cases_per_million,0.0,4.008,4.008,20.383,20.383,79.481,79.481,3142.293
3,total_deaths_per_million,0.003,8.483,8.483,47.31,47.31,171.32999999999998,171.32999999999998,1715.587
4,new_deaths_per_million,0.0,0.0,0.0,0.294,0.294,1.395,1.395,141.865
5,reproduction_rate,0.0,0.9,0.9,1.06,1.06,1.22,1.22,6.74
6,total_tests_per_thousand,0.001,10.592500000000001,10.592500000000001,40.769,40.769,143.1975,143.1975,2690.98
7,new_tests_per_thousand,0.0,0.14,0.14,0.508,0.508,1.445,1.445,28.716
8,positive_rate,0.0,0.016,0.016,0.049,0.049,0.127,0.127,0.991
9,tests_per_case,1.0,7.9,7.9,20.6,20.6,62.0,62.0,27035.0
10,stringency_index,0.0,50.93,50.93,65.74,65.74,79.17,79.17,100.0
11,population_density,3.202,43.951,43.951,102.619,102.619,214.243,214.243,1935.907
12,median_age,16.4,28.2,28.2,34.0,34.0,42.3,42.3,48.2
13,gdp_per_capita,1095.042,8827.01,8827.01,23313.199,23313.199,36513.323,36513.323,116935.6
14,hospital_beds_per_thousand,0.2,1.38,1.38,2.6,2.6,4.53,4.53,13.05
15,life_expectancy,60.85,73.32,73.32,76.74,76.74,81.32,81.32,84.63
16,human_development_index,0.437,0.699,0.699,0.811,0.811,0.878,0.878,0.953
17,new_death_1_day_ago,0.0,0.0,0.0,0.9139784946236559,0.9139784946236559,1.5918367346938775,1.5918367346938775,30.000000000000032
18,new_death_2_day_ago,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,1.5501956050668255,1.5501956050668255,30.000000000000032
19,new_death_3_day_ago,0.0,0.0,0.0,0.9070918086860913,0.9070918086860913,1.5069448527371425,1.5069448527371425,30.000000000000032
20,new_death_4_day_ago,0.0,0.0,0.0,0.9028727770177838,0.9028727770177838,1.4735639784784635,1.4735639784784635,30.000000000000032
21,new_death_5_day_ago,0.0,0.0,0.0,0.892733564013841,0.892733564013841,1.4285714285714286,1.4285714285714286,30.000000000000032
22,new_death_6_day_ago,0.0,0.0,0.0,0.88871096877502,0.88871096877502,1.3953488372093024,1.3953488372093024,30.000000000000032
23,new_death_7_day_ago,0.0,0.0,0.0,0.8840486867392697,0.8840486867392697,1.3617792065282908,1.3617792065282908,30.000000000000032
24,new_death_8_day_ago,0.0,0.0,0.0,0.8823529411764706,0.8823529411764706,1.3202232298787486,1.3202232298787486,30.000000000000032
25,new_death_9_day_ago,0.0,0.0,0.0,0.8737864077669903,0.8737864077669903,1.2895069532237673,1.2895069532237673,30.000000000000032
26,new_death_10_day_ago,0.0,0.0,0.0,0.8674698795180723,0.8674698795180723,1.2658227848101264,1.2658227848101264,30.000000000000032
27,new_death_11_day_ago,0.0,0.0,0.0,0.8599581964765601,0.8599581964765601,1.2425828392011318,1.2425828392011318,30.000000000000032
28,new_death_12_day_ago,0.0,0.0,0.0,0.8490566037735849,0.8490566037735849,1.2121212121212122,1.2121212121212122,30.000000000000032
29,new_death_13_day_ago,0.0,0.0,0.0,0.8385093167701863,0.8385093167701863,1.191412550887165,1.191412550887165,30.000000000000032
30,new_death_14_day_ago,0.0,0.0,0.0,0.8296296296296296,0.8296296296296296,1.1707599803973312,1.1707599803973312,30.000000000000032
31,new_death_15_day_ago,0.0,0.0,0.0,0.8159564823209429,0.8159564823209429,1.153846153846154,1.153846153846154,30.000000000000032
32,new_death_16_day_ago,0.0,0.0,0.0,0.8012675418741512,0.8012675418741512,1.1464968152866242,1.1464968152866242,30.000000000000032
33,new_death_17_day_ago,0.0,0.0,0.0,0.7862903225806451,0.7862903225806451,1.1369677224349606,1.1369677224349606,30.000000000000032
34,new_death_18_day_ago,0.0,0.0,0.0,0.7692307692307692,0.7692307692307692,1.129278799657789,1.129278799657789,30.000000000000032
35,new_death_19_day_ago,0.0,0.0,0.0,0.75,0.75,1.124055636757085,1.124055636757085,30.000000000000032
36,new_death_20_day_ago,0.0,0.0,0.0,0.7317073170731707,0.7317073170731707,1.1214953271028036,1.1214953271028036,30.000000000000032
37,new_death_21_day_ago,0.0,0.0,0.0,0.7149404216315307,0.7149404216315307,1.1180124223602486,1.1180124223602486,30.000000000000032
38,new_death_22_day_ago,0.0,0.0,0.0,0.6976744186046513,0.6976744186046513,1.1176292753306156,1.1176292753306156,30.000000000000032
39,new_death_23_day_ago,0.0,0.0,0.0,0.6818181818181819,0.6818181818181819,1.120331950207469,1.120331950207469,30.000000000000032
40,new_death_24_day_ago,0.0,0.0,0.0,0.6634615384615385,0.6634615384615385,1.120689655172414,1.120689655172414,30.000000000000032
41,new_death_25_day_ago,0.0,0.0,0.0,0.6463878326996197,0.6463878326996197,1.1219403892366289,1.1219403892366289,30.000000000000032
42,new_death_26_day_ago,0.0,0.0,0.0,0.6282722513089005,0.6282722513089005,1.1214953271028036,1.1214953271028036,30.000000000000032
43,new_death_27_day_ago,0.0,0.0,0.0,0.6122448979591837,0.6122448979591837,1.1192682795409237,1.1192682795409237,30.000000000000032
44,new_death_28_day_ago,0.0,0.0,0.0,0.5988023952095809,0.5988023952095809,1.1214953271028039,1.1214953271028039,30.000000000000032
45,new_death_29_day_ago,0.0,0.0,0.0,0.582314881380302,0.582314881380302,1.1253395392455454,1.1253395392455454,30.000000000000032
46,new_death_30_day_ago,0.0,0.0,0.0,0.5660377358490566,0.5660377358490566,1.1279341646799927,1.1279341646799927,30.000000000000032
47,new_cases_1_day_ago,0.0,0.7213672114483498,0.7213672114483498,1.0919988305233408,1.0919988305233408,1.6120878663339844,1.6120878663339844,21.2621359223301
48,new_cases_2_day_ago,0.0,0.729101865121871,0.729101865121871,1.0838765396557752,1.0838765396557752,1.5675977860705936,1.5675977860705936,20.0
49,new_cases_3_day_ago,0.0,0.7352247338329405,0.7352247338329405,1.0756002595717067,1.0756002595717067,1.5263268588827326,1.5263268588827326,17.709677419354843
50,new_cases_4_day_ago,0.0,0.7406919307288311,0.7406919307288311,1.0690531882436694,1.0690531882436694,1.4846006401691256,1.4846006401691256,16.111918604651162
51,new_cases_5_day_ago,0.0,0.7463078948846645,0.7463078948846645,1.0603179740280755,1.0603179740280755,1.4404087037638975,1.4404087037638975,15.05091649694501
52,new_cases_6_day_ago,0.0,0.7524297291913483,0.7524297291913483,1.0493631582282492,1.0493631582282492,1.399416909620991,1.399416909620991,30.000000000000032
53,new_cases_7_day_ago,0.0,0.7557891303386628,0.7557891303386628,1.0388098318240622,1.0388098318240622,1.356544450917566,1.356544450917566,14.667274859898345
54,new_cases_8_day_ago,0.0,0.7572944525183383,0.7572944525183383,1.0276607437259573,1.0276607437259573,1.314621618165359,1.314621618165359,15.000000000000004
55,new_cases_9_day_ago,0.0,0.7557093863101165,0.7557093863101165,1.0167066540467962,1.0167066540467962,1.2745243844117065,1.2745243844117065,15.000000000000004
56,new_cases_10_day_ago,0.0,0.7523799913671024,0.7523799913671024,1.0074399887698282,1.0074399887698282,1.2442446000270295,1.2442446000270295,16.102040816326532
57,new_cases_11_day_ago,0.0,0.7471900218842511,0.7471900218842511,0.9954117362955809,0.9954117362955809,1.2188781136451345,1.2188781136451345,9.086395233366435
58,new_cases_12_day_ago,0.0,0.739855712964324,0.739855712964324,0.9845998485231002,0.9845998485231002,1.1929307805596465,1.1929307805596465,12.67907437867556
59,new_cases_13_day_ago,0.0,0.7306277952315786,0.7306277952315786,0.9731340837626622,0.9731340837626622,1.1697094546231082,1.1697094546231082,11.84228802323379
60,new_cases_14_day_ago,0.0,0.7206973844498556,0.7206973844498556,0.9619952494061759,0.9619952494061759,1.1529890662645386,1.1529890662645386,11.479660532865477
61,new_cases_15_day_ago,0.0,0.7050899456701545,0.7050899456701545,0.9515953892415635,0.9515953892415635,1.138245930611509,1.138245930611509,11.255100408032643
62,new_cases_16_day_ago,0.0,0.690937695368427,0.690937695368427,0.9402252906976746,0.9402252906976746,1.1276905994602355,1.1276905994602355,9.6
63,new_cases_17_day_ago,0.0,0.6721188942260266,0.6721188942260266,0.9304274937133278,0.9304274937133278,1.124008386644686,1.124008386644686,9.6
64,new_cases_18_day_ago,0.0,0.6552501351526219,0.6552501351526219,0.9208614697985797,0.9208614697985797,1.126806169033792,1.126806169033792,12.101694915254237
65,new_cases_19_day_ago,0.0,0.6370024003656855,0.6370024003656855,0.9083383919209758,0.9083383919209758,1.1255036392347655,1.1255036392347655,30.000000000000032
66,new_cases_20_day_ago,0.0,0.621022185523417,0.621022185523417,0.898141775636614,0.898141775636614,1.1258754414038608,1.1258754414038608,15.000000000000016
67,new_cases_21_day_ago,0.0,0.6,0.6,0.8881578947368421,0.8881578947368421,1.1282854142978684,1.1282854142978684,9.79972483934449
68,new_cases_22_day_ago,0.0,0.5772617504930788,0.5772617504930788,0.8755763120804568,0.8755763120804568,1.1279602175945174,1.1279602175945174,9.885632971434594
69,new_cases_23_day_ago,0.0,0.5555555555555556,0.5555555555555556,0.8625954198473282,0.8625954198473282,1.1294152891833784,1.1294152891833784,15.000000000000016
70,new_cases_24_day_ago,0.0,0.5304992450994637,0.5304992450994637,0.8491863396745358,0.8491863396745358,1.1369389355755677,1.1369389355755677,10.313199105145413
71,new_cases_25_day_ago,0.0,0.5090040726325162,0.5090040726325162,0.8379888268156425,0.8379888268156425,1.1424054781092203,1.1424054781092203,30.000000000000032
72,new_cases_26_day_ago,0.0,0.48683064185413055,0.48683064185413055,0.8249721293199553,0.8249721293199553,1.1460239790144238,1.1460239790144238,15.000000000000016
73,new_cases_27_day_ago,0.0,0.467203337769282,0.467203337769282,0.8115195727840556,0.8115195727840556,1.1502926647559986,1.1502926647559986,20.0
74,new_cases_28_day_ago,0.0,0.44523388065585906,0.44523388065585906,0.801186943620178,0.801186943620178,1.1538461538461537,1.1538461538461537,17.142857142857146
75,new_cases_29_day_ago,0.0,0.42651192797265924,0.42651192797265924,0.7859740397632256,0.7859740397632256,1.1601058214580364,1.1601058214580364,17.142857142857146
76,new_cases_30_day_ago,0.0,0.4054054054054054,0.4054054054054054,0.7715133531157269,0.7715133531157269,1.1658156816831964,1.1658156816831964,15.000000000000016
77,Cases_STATS_min,0.0,0.0,0.0,4.6e-05,4.6e-05,0.000493,0.000493,0.114434
78,Cases_STATS_max,1e-06,0.000142,0.000142,0.000656,0.000656,0.002322,0.002322,0.249524
79,Cases_STATS_avg,3.33333333333333e-08,4.866666666666666e-05,4.866666666666666e-05,0.0003072333333333333,0.0003072333333333333,0.00137925,0.00137925,0.19763003333333332
