,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max,16_min,16_max,17_min,17_max,18_min,18_max,19_min,19_max,20_min,20_max,21_min,21_max,22_min,22_max,23_min,23_max,24_min,24_max,25_min,25_max,26_min,26_max,27_min,27_max,28_min,28_max,29_min,29_max,30_min,30_max,31_min,31_max,32_min,32_max,33_min,33_max,34_min,34_max,35_min,35_max,36_min,36_max,37_min,37_max,38_min,38_max,39_min,39_max,40_min,40_max,41_min,41_max,42_min,42_max,43_min,43_max,44_min,44_max,45_min,45_max,46_min,46_max,47_min,47_max,48_min,48_max,49_min,49_max,50_min,50_max,51_min,51_max,52_min,52_max,53_min,53_max,54_min,54_max,55_min,55_max,56_min,56_max,57_min,57_max,58_min,58_max,59_min,59_max,60_min,60_max,61_min,61_max,62_min,62_max,63_min,63_max
0,Unnamed: 0.1.1,1923.0,2625.46875,2625.46875,3051.9375,3051.9375,4062.40625,4062.40625,4398.875,4398.875,5337.34375,5337.34375,6589.8125,6589.8125,7990.28125,7990.28125,9627.75,9627.75,10876.21875,10876.21875,12848.6875,12848.6875,13506.15625,13506.15625,14515.625,14515.625,15448.09375,15448.09375,17200.5625,17200.5625,17907.03125,17907.03125,18602.5,18602.5,20598.96875,20598.96875,21317.4375,21317.4375,23210.90625,23210.90625,23701.375,23701.375,24079.84375,24079.84375,24899.3125,24899.3125,25449.78125,25449.78125,25820.25,25820.25,26169.71875,26169.71875,26582.1875,26582.1875,26937.65625,26937.65625,27528.125,27528.125,27917.59375,27917.59375,29320.0625,29320.0625,31175.53125,31175.53125,31534.0,31534.0,32149.46875,32149.46875,33259.9375,33259.9375,34379.40625,34379.40625,35957.875,35957.875,36342.34375,36342.34375,37217.8125,37217.8125,39310.28125,39310.28125,39968.75,39968.75,40606.21875,40606.21875,41234.6875,41234.6875,41573.15625,41573.15625,41960.625,41960.625,42340.09375,42340.09375,42725.5625,42725.5625,43071.03125,43071.03125,43487.5,43487.5,45675.96875,45675.96875,46331.4375,46331.4375,47658.90625,47658.90625,48448.375,48448.375,48818.53125,48818.53125,49837.3125,49837.3125,51201.78125,51201.78125,52878.25,52878.25,53699.71875,53699.71875,54192.1875,54192.1875,54669.65625,54669.65625,55153.125,55153.125,55532.59375,55532.59375,56187.0625,56187.0625,58530.53125,58530.53125,58934.0
1,total_cases_per_million,0.103,3.9524999999999997,3.9524999999999997,15.502812500000001,15.502812500000001,32.48234375,32.48234375,46.428999999999995,46.428999999999995,66.07103124999999,66.07103124999999,91.12418749999999,91.12418749999999,123.69471875,123.69471875,156.32325,156.32325,198.3675,198.3675,232.9673125,232.9673125,265.7156875,265.7156875,286.517375,286.517375,315.76553125,315.76553125,368.36725,368.36725,420.1558125,420.1558125,470.4755,470.4755,524.7853124999999,524.7853124999999,571.729875,571.729875,631.0298125,631.0298125,697.2983750000001,697.2983750000001,765.05009375,765.05009375,855.5975000000001,855.5975000000001,951.55025,951.55025,1048.19775,1048.19775,1134.26390625,1134.26390625,1260.68625,1260.68625,1371.94471875,1371.94471875,1481.0688750000002,1481.0688750000002,1589.75509375,1589.75509375,1711.4295,1711.4295,1857.86396875,1857.86396875,2006.401,2006.401,2203.9641874999998,2203.9641874999998,2421.876,2421.876,2682.0340625,2682.0340625,2940.141,2940.141,3233.60578125,3233.60578125,3533.8198125000004,3533.8198125000004,3800.1011875000004,3800.1011875000004,4064.37325,4064.37325,4342.44846875,4342.44846875,4680.574875,4680.574875,5015.2673125,5015.2673125,5280.586,5280.586,5724.46840625,5724.46840625,6230.077375,6230.077375,6749.573906250001,6749.573906250001,7364.2045,7364.2045,8076.825343750001,8076.825343750001,8952.4920625,8952.4920625,9866.476718750002,9866.476718750002,10792.426625,10792.426625,11888.79396875,11888.79396875,13021.401625,13021.401625,14748.3434375,14748.3434375,16933.7125,16933.7125,19809.29496875,19809.29496875,22907.5234375,22907.5234375,25983.86759375,25983.86759375,28819.2635,28819.2635,32164.51415625,32164.51415625,37154.493875,37154.493875,46380.85390625,46380.85390625,74148.21
2,new_cases_per_million,0.0,0.0,0.0,0.009,0.009,0.13440625,0.13440625,0.279,0.279,0.435,0.435,0.621,0.621,0.846,0.846,1.107,1.107,1.42465625,1.42465625,1.7031250000000002,1.7031250000000002,2.025,2.025,2.304,2.304,2.657,2.657,3.0525625,3.0525625,3.49909375,3.49909375,4.008,4.008,4.567,4.567,5.17,5.17,5.83471875,5.83471875,6.665125,6.665125,7.523843749999999,7.523843749999999,8.449,8.449,9.417687500000001,9.417687500000001,10.45075,10.45075,11.43515625,11.43515625,12.495000000000001,12.495000000000001,13.589000000000002,13.589000000000002,14.735375,14.735375,15.974999999999998,15.974999999999998,17.3113125,17.3113125,18.755531249999997,18.755531249999997,20.383,20.383,22.286875000000002,22.286875000000002,24.3215625,24.3215625,26.501375,26.501375,28.877,28.877,31.38334375,31.38334375,34.293875,34.293875,37.208749999999995,37.208749999999995,40.23725,40.23725,43.54584375,43.54584375,47.47387500000001,47.47387500000001,51.7575,51.7575,56.282,56.282,61.16128125,61.16128125,66.996,66.996,73.30334375,73.30334375,79.481,79.481,86.83921875,86.83921875,94.2645,94.2645,102.96803125,102.96803125,113.845,113.845,126.29184375,126.29184375,142.3280625,142.3280625,159.23384375,159.23384375,176.48675,176.48675,197.10359375,197.10359375,224.497,224.497,259.93978125,259.93978125,308.302875,308.302875,378.00965625000003,378.00965625000003,493.505125,493.505125,678.9623125,678.9623125,3142.293
3,total_deaths_per_million,0.003,0.109,0.109,0.26,0.26,0.48040625,0.48040625,0.754,0.754,1.06134375,1.06134375,1.542,1.542,2.053,2.053,2.70725,2.70725,3.377,3.377,3.9399999999999995,3.9399999999999995,4.356,4.356,5.069125,5.069125,5.689375,5.689375,6.5338125,6.5338125,7.551,7.551,8.483,8.483,9.566,9.566,10.652,10.652,12.568062500000002,12.568062500000002,14.130875,14.130875,15.905,15.905,17.8619375,17.8619375,19.42446875,19.42446875,21.692,21.692,24.920875000000002,24.920875000000002,27.846062500000002,27.846062500000002,29.984499999999997,29.984499999999997,33.0625,33.0625,35.78915625,35.78915625,39.2671875,39.2671875,43.34706249999999,43.34706249999999,47.31,47.31,50.758875,50.758875,54.231,54.231,58.68724999999999,58.68724999999999,61.797375,61.797375,65.81796875,65.81796875,71.40537499999999,71.40537499999999,76.945,76.945,81.63475000000001,81.63475000000001,87.7473125,87.7473125,96.68743750000002,96.68743750000002,105.314,105.314,113.06524999999999,113.06524999999999,124.4445625,124.4445625,137.736625,137.736625,153.361,153.361,171.32999999999998,171.32999999999998,185.69034375,185.69034375,203.6474375,203.6474375,221.962,221.962,238.596,238.596,264.0950625,264.0950625,303.2160625,303.2160625,345.45381249999997,345.45381249999997,378.4235,378.4235,446.72490625,446.72490625,535.5674375000001,535.5674375000001,592.97990625,592.97990625,648.7303750000001,648.7303750000001,743.81390625,743.81390625,834.8815,834.8815,944.59821875,944.59821875,1715.587
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.027,0.027,0.037,0.037,0.053000000000000005,0.053000000000000005,0.064,0.064,0.08431250000000001,0.08431250000000001,0.099,0.099,0.111,0.111,0.13,0.13,0.15,0.15,0.173,0.173,0.196,0.196,0.213,0.213,0.238,0.238,0.269,0.269,0.294,0.294,0.332,0.332,0.354,0.354,0.396,0.396,0.441,0.441,0.481,0.481,0.538,0.538,0.588,0.588,0.67,0.67,0.715,0.715,0.776,0.776,0.863,0.863,0.937,0.937,1.04,1.04,1.151,1.151,1.247,1.247,1.395,1.395,1.553,1.553,1.722625,1.722625,1.92390625,1.92390625,2.177,2.177,2.383,2.383,2.679,2.679,3.034,3.034,3.43125,3.43125,3.95,3.95,4.579,4.579,5.37128125,5.37128125,6.191,6.191,7.642,7.642,9.585,9.585,13.49321875,13.49321875,141.865
5,reproduction_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.63,0.63,0.6928124999999999,0.6928124999999999,0.73,0.73,0.77,0.77,0.8,0.8,0.83,0.83,0.8400000000000001,0.8400000000000001,0.8600000000000001,0.8600000000000001,0.88,0.88,0.89,0.89,0.9,0.9,0.92,0.92,0.9300000000000002,0.9300000000000002,0.94,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,1.0,1.0,1.01,1.01,1.02,1.02,1.03,1.03,1.04,1.04,1.04,1.04,1.05,1.05,1.06,1.06,1.07,1.07,1.08,1.08,1.09,1.09,1.1,1.1,1.11,1.11,1.12,1.12,1.12,1.12,1.13,1.13,1.14,1.14,1.15,1.15,1.16,1.16,1.17,1.17,1.18,1.18,1.19,1.19,1.2,1.2,1.22,1.22,1.23,1.23,1.25,1.25,1.26,1.26,1.28,1.28,1.3,1.3,1.31,1.31,1.33,1.33,1.36,1.36,1.39,1.39,1.42,1.42,1.46,1.46,1.51,1.51,1.57,1.57,1.68,1.68,1.8899999999999997,1.8899999999999997,6.74
6,total_tests_per_thousand,0.001,0.129,0.129,0.354,0.354,0.71540625,0.71540625,1.1528749999999999,1.1528749999999999,1.67234375,1.67234375,2.188875,2.188875,2.711,2.711,3.328,3.328,4.00821875,4.00821875,4.7946875,4.7946875,5.70715625,5.70715625,6.642625,6.642625,7.580375,7.580375,8.525,8.525,9.543125,9.543125,10.592500000000001,10.592500000000001,11.638968749999998,11.638968749999998,12.74875,12.74875,13.83990625,13.83990625,14.984125,14.984125,16.20296875,16.20296875,17.5411875,17.5411875,19.02678125,19.02678125,20.81125,20.81125,22.721875,22.721875,24.8311875,24.8311875,26.92459375,26.92459375,29.196125000000002,29.196125000000002,31.4895,31.4895,34.186187499999996,34.186187499999996,37.223187499999995,37.223187499999995,40.769,40.769,44.451812499999996,44.451812499999996,48.4165625,48.4165625,52.341843749999995,52.341843749999995,56.29925,56.29925,60.41078125,60.41078125,64.8641875,64.8641875,69.86228125,69.86228125,75.0285,75.0285,80.72228125,80.72228125,87.2070625,87.2070625,93.85637499999999,93.85637499999999,101.90337500000001,101.90337500000001,110.65778125000001,110.65778125000001,120.33768749999999,120.33768749999999,131.24203125,131.24203125,143.1975,143.1975,155.94800000000004,155.94800000000004,168.29706249999998,168.29706249999998,181.70703124999997,181.70703124999997,197.78224999999998,197.78224999999998,214.5305,214.5305,234.2809375,234.2809375,255.93787500000002,255.93787500000002,280.27575,280.27575,308.613,308.613,349.21856249999996,349.21856249999996,400.78659374999995,400.78659374999995,460.766625,460.766625,559.9915625,559.9915625,720.9639999999999,720.9639999999999,1118.67859375,1118.67859375,2690.98
7,new_tests_per_thousand,0.0,0.007,0.007,0.015,0.015,0.023,0.023,0.031,0.031,0.038,0.038,0.044,0.044,0.05,0.05,0.057,0.057,0.065,0.065,0.073,0.073,0.082,0.082,0.092,0.092,0.102,0.102,0.112,0.112,0.125,0.125,0.14,0.14,0.156,0.156,0.173,0.173,0.191,0.191,0.209,0.209,0.227,0.227,0.246,0.246,0.267,0.267,0.29125,0.29125,0.315,0.315,0.33999999999999997,0.33999999999999997,0.364,0.364,0.383,0.383,0.412,0.412,0.442,0.442,0.476,0.476,0.508,0.508,0.541,0.541,0.575,0.575,0.61,0.61,0.643,0.643,0.691,0.691,0.7488125,0.7488125,0.79828125,0.79828125,0.859,0.859,0.92,0.92,0.986,0.986,1.053,1.053,1.129,1.129,1.196,1.196,1.2725624999999998,1.2725624999999998,1.3490312500000001,1.3490312500000001,1.445,1.445,1.548,1.548,1.645,1.645,1.7578125,1.7578125,1.88,1.88,2.02084375,2.02084375,2.1703124999999996,2.1703124999999996,2.359,2.359,2.57225,2.57225,2.84,2.84,3.181,3.181,3.5873125,3.5873125,4.124124999999999,4.124124999999999,4.9911562499999995,4.9911562499999995,6.2800625000000005,6.2800625000000005,10.42184375,10.42184375,28.716
8,positive_rate,0.0,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.019,0.019,0.019999999999999997,0.019999999999999997,0.022,0.022,0.023,0.023,0.025,0.025,0.027000000000000003,0.027000000000000003,0.029,0.029,0.031,0.031,0.033,0.033,0.035,0.035,0.038,0.038,0.041,0.041,0.043,0.043,0.046,0.046,0.049,0.049,0.052,0.052,0.056,0.056,0.059,0.059,0.062,0.062,0.066,0.066,0.07,0.07,0.074,0.074,0.078,0.078,0.08221875000000001,0.08221875000000001,0.088,0.088,0.094,0.094,0.1,0.1,0.107,0.107,0.11456250000000001,0.11456250000000001,0.12,0.12,0.127,0.127,0.136,0.136,0.144,0.144,0.155,0.155,0.165,0.165,0.176,0.176,0.189,0.189,0.203,0.203,0.217,0.217,0.23299999999999998,0.23299999999999998,0.251,0.251,0.271,0.271,0.296125,0.296125,0.33,0.33,0.36806249999999996,0.36806249999999996,0.441,0.441,0.991
9,tests_per_case,1.0,2.3,2.3,2.7,2.7,3.0,3.0,3.4,3.4,3.7,3.7,4.0,4.0,4.3,4.3,4.6,4.6,4.9,4.9,5.3,5.3,5.7,5.7,6.1,6.1,6.5,6.5,6.9,6.9,7.4,7.4,7.9,7.9,8.3,8.3,8.7,8.7,9.3,9.3,10.0,10.0,10.7,10.7,11.4,11.4,12.1,12.1,12.8,12.8,13.5,13.5,14.400000000000002,14.400000000000002,15.2,15.2,16.0125,16.0125,17.0,17.0,18.0,18.0,19.4,19.4,20.6,20.6,21.9,21.9,23.4,23.4,24.640625,24.640625,26.3,26.3,28.300000000000004,28.300000000000004,30.18125,30.18125,32.3,32.3,34.5,34.5,37.0,37.0,39.7,39.7,42.715625,42.715625,46.3,46.3,50.0,50.0,53.9,53.9,57.8,57.8,62.0,62.0,66.996875,66.996875,72.8,72.8,80.6,80.6,90.2,90.2,100.2,100.2,113.63125,113.63125,127.7,127.7,153.2,153.2,180.31562499999998,180.31562499999998,210.9375,210.9375,253.496875,253.496875,333.25,333.25,486.896875,486.896875,727.0,727.0,1459.803125,1459.803125,27035.0
