,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
0,Unnamed: 0.1.1,1923.0,9627.75,9627.75,18602.5,18602.5,25820.25,25820.25,31534.0,31534.0,39968.75,39968.75,43487.5,43487.5,52878.25,52878.25,58934.0
1,total_cases_per_million,0.103,156.32325,156.32325,470.4755,470.4755,1048.19775,1048.19775,2006.401,2006.401,4064.37325,4064.37325,7364.2045,7364.2045,16933.7125,16933.7125,74148.21
2,new_cases_per_million,0.0,1.107,1.107,4.008,4.008,10.45075,10.45075,20.383,20.383,40.23725,40.23725,79.481,79.481,176.48675,176.48675,3142.293
3,total_deaths_per_million,0.003,2.70725,2.70725,8.483,8.483,21.692,21.692,47.31,47.31,81.63475000000001,81.63475000000001,171.32999999999998,171.32999999999998,378.4235,378.4235,1715.587
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.294,0.294,0.67,0.67,1.395,1.395,3.43125,3.43125,141.865
5,reproduction_rate,0.0,0.73,0.73,0.9,0.9,0.99,0.99,1.06,1.06,1.13,1.13,1.22,1.22,1.36,1.36,6.74
6,total_tests_per_thousand,0.001,3.328,3.328,10.592500000000001,10.592500000000001,20.81125,20.81125,40.769,40.769,75.0285,75.0285,143.1975,143.1975,280.27575,280.27575,2690.98
7,new_tests_per_thousand,0.0,0.057,0.057,0.14,0.14,0.29125,0.29125,0.508,0.508,0.859,0.859,1.445,1.445,2.57225,2.57225,28.716
8,positive_rate,0.0,0.007,0.007,0.016,0.016,0.029,0.029,0.049,0.049,0.078,0.078,0.127,0.127,0.217,0.217,0.991
9,tests_per_case,1.0,4.6,4.6,7.9,7.9,12.8,12.8,20.6,20.6,34.5,34.5,62.0,62.0,153.2,153.2,27035.0
10,stringency_index,0.0,42.59,42.59,50.93,50.93,58.33,58.33,65.74,65.74,72.22,72.22,79.17,79.17,84.26,84.26,100.0
11,population_density,3.202,17.144,17.144,43.951,43.951,73.726,73.726,102.619,102.619,126.719,126.719,214.243,214.243,341.955,341.955,1935.907
12,median_age,16.4,23.2,23.2,28.2,28.2,31.4,31.4,34.0,34.0,39.7,39.7,42.3,42.3,43.5,43.5,48.2
