,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max
0,Unnamed: 0.1.1,28.0,3304.75,3304.75,7106.5,7106.5,11102.25,11102.25,14242.0,14242.0,18441.75,18441.75,21806.5,21806.5,25317.25,25317.25,28706.0,28706.0,32461.75,32461.75,36469.5,36469.5,40014.25,40014.25,43152.0,43152.0,47867.75,47867.75,51203.5,51203.5,55310.25,55310.25,58938.0
1,total_cases_per_million,0.0,22.5155,22.5155,66.2705,66.2705,146.001,146.001,254.027,254.027,380.34025,380.34025,621.174,621.174,907.016,907.016,1260.399,1260.399,1900.5214999999998,1900.5214999999998,3000.9660000000003,3000.9660000000003,4354.64175,4354.64175,6203.187,6203.187,9279.384,9279.384,14592.0805,14592.0805,26036.96875,26036.96875,109868.634
2,new_cases_per_million,0.0,0.0,0.0,0.042,0.042,0.53,0.53,1.346,1.346,2.50275,2.50275,4.168,4.168,6.88125,6.88125,11.133,11.133,17.12825,17.12825,26.9145,26.9145,41.22749999999999,41.22749999999999,62.251,62.251,94.06150000000001,94.06150000000001,154.66899999999998,154.66899999999998,277.421,277.421,3869.799
3,total_deaths_per_million,0.0,0.42,0.42,1.544,1.544,3.2582500000000003,3.2582500000000003,4.957,4.957,7.61875,7.61875,11.791,11.791,18.101,18.101,26.426,26.426,39.592,39.592,59.16,59.16,84.471,84.471,134.805,134.805,210.85475000000002,210.85475000000002,356.52,356.52,616.2642500000001,616.2642500000001,1885.792
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.124,0.124,0.213,0.213,0.368,0.368,0.617,0.617,1.013,1.013,1.696,1.696,2.856,2.856,5.438,5.438,218.329
5,reproduction_rate,0.0,0.0,0.0,0.3,0.3,0.7,0.7,0.83,0.83,0.9,0.9,0.95,0.95,0.99,0.99,1.03,1.03,1.06,1.06,1.1,1.1,1.14,1.14,1.18,1.18,1.25,1.25,1.33,1.33,1.47,1.47,6.74
6,total_tests_per_thousand,0.001,2.448,2.448,7.692,7.692,15.18825,15.18825,28.486,28.486,52.344249999999995,52.344249999999995,91.57650000000001,91.57650000000001,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,148.01100000000002,148.01100000000002,290.57225,290.57225,2758.799
7,new_tests_per_thousand,0.0,0.043,0.043,0.101,0.101,0.213,0.213,0.379,0.379,0.615,0.615,0.994,0.994,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.547,1.547,2.7465,2.7465,28.716
8,positive_rate,0.0,0.006,0.006,0.014,0.014,0.023,0.023,0.038,0.038,0.059,0.059,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.1,0.1,0.144,0.144,0.226,0.226,0.991
9,tests_per_case,1.0,4.4,4.4,6.9,6.9,10.0,10.0,14.3,14.3,21.7,21.7,34.349999999999994,34.349999999999994,56.8,56.8,111.1,111.1,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,171.35000000000002,171.35000000000002,37002.3
