,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max,16_min,16_max,17_min,17_max,18_min,18_max,19_min,19_max,20_min,20_max,21_min,21_max,22_min,22_max,23_min,23_max,24_min,24_max,25_min,25_max,26_min,26_max,27_min,27_max,28_min,28_max,29_min,29_max,30_min,30_max,31_min,31_max
0,Unnamed: 0.1.1,28.0,1543.875,1543.875,3304.75,3304.75,5131.625,5131.625,7106.5,7106.5,9481.375,9481.375,11102.25,11102.25,12746.125,12746.125,14242.0,14242.0,16145.875,16145.875,18441.75,18441.75,19990.625,19990.625,21806.5,21806.5,23354.375,23354.375,25317.25,25317.25,26859.125,26859.125,28706.0,28706.0,30658.875,30658.875,32461.75,32461.75,34439.625,34439.625,36469.5,36469.5,38401.375,38401.375,40014.25,40014.25,41664.125,41664.125,43152.0,43152.0,45872.875,45872.875,47867.75,47867.75,49540.625,49540.625,51203.5,51203.5,53693.375,53693.375,55310.25,55310.25,57187.125,57187.125,58938.0
1,total_cases_per_million,0.0,6.318375,6.318375,22.5155,22.5155,45.269,45.269,66.2705,66.2705,101.13262499999999,101.13262499999999,146.001,146.001,202.078375,202.078375,254.027,254.027,303.085125,303.085125,380.34025,380.34025,500.8405,500.8405,621.174,621.174,758.037875,758.037875,907.016,907.016,1049.954,1049.954,1260.399,1260.399,1530.168375,1530.168375,1900.5214999999998,1900.5214999999998,2365.477,2365.477,3000.9660000000003,3000.9660000000003,3677.16,3677.16,4354.64175,4354.64175,5161.827125,5161.827125,6203.187,6203.187,7519.202625,7519.202625,9279.384,9279.384,11355.774,11355.774,14592.0805,14592.0805,19555.629,19555.629,26036.96875,26036.96875,36092.64625,36092.64625,109868.634
2,new_cases_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.042,0.244,0.244,0.53,0.53,0.896,0.896,1.346,1.346,1.867,1.867,2.50275,2.50275,3.2969999999999997,3.2969999999999997,4.168,4.168,5.270125,5.270125,6.88125,6.88125,8.875375,8.875375,11.133,11.133,13.785,13.785,17.12825,17.12825,21.4665,21.4665,26.9145,26.9145,33.472375,33.472375,41.22749999999999,41.22749999999999,50.597125000000005,50.597125000000005,62.251,62.251,76.389625,76.389625,94.06150000000001,94.06150000000001,118.21562499999999,118.21562499999999,154.66899999999998,154.66899999999998,201.58275,201.58275,277.421,277.421,464.5105,464.5105,3869.799
3,total_deaths_per_million,0.0,0.173,0.173,0.42,0.42,0.845,0.845,1.544,1.544,2.400375,2.400375,3.2582500000000003,3.2582500000000003,4.049,4.049,4.957,4.957,5.98975,5.98975,7.61875,7.61875,9.353,9.353,11.791,11.791,14.99175,14.99175,18.101,18.101,21.073375,21.073375,26.426,26.426,32.716750000000005,32.716750000000005,39.592,39.592,49.595,49.595,59.16,59.16,69.305,69.305,84.471,84.471,106.167375,106.167375,134.805,134.805,175.33937500000002,175.33937500000002,210.85475000000002,210.85475000000002,268.64,268.64,356.52,356.52,470.37475,470.37475,616.2642500000001,616.2642500000001,808.330125,808.330125,1885.792
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.032,0.06,0.06,0.093,0.093,0.124,0.124,0.175,0.175,0.213,0.213,0.288,0.288,0.368,0.368,0.48,0.48,0.617,0.617,0.787,0.787,1.013,1.013,1.31,1.31,1.696,1.696,2.169625,2.169625,2.856,2.856,3.84,3.84,5.438,5.438,8.834625,8.834625,218.329
5,reproduction_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.58,0.58,0.7,0.7,0.77,0.77,0.83,0.83,0.86,0.86,0.9,0.9,0.93,0.93,0.95,0.95,0.97,0.97,0.99,0.99,1.01,1.01,1.03,1.03,1.04,1.04,1.06,1.06,1.08,1.08,1.1,1.1,1.12,1.12,1.14,1.14,1.16,1.16,1.18,1.18,1.21,1.21,1.25,1.25,1.28,1.28,1.33,1.33,1.39,1.39,1.47,1.47,1.66,1.66,6.74
6,total_tests_per_thousand,0.001,0.809875,0.809875,2.448,2.448,4.574375,4.574375,7.692,7.692,11.12475,11.12475,15.18825,15.18825,20.601875,20.601875,28.486,28.486,38.632000000000005,38.632000000000005,52.344249999999995,52.344249999999995,68.98525000000001,68.98525000000001,91.57650000000001,91.57650000000001,115.03709591056193,115.03709591056193,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056193,115.03709591056193,115.03709591056192,115.03709591056192,115.03709591056193,115.03709591056193,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056193,115.03709591056193,148.01100000000002,148.01100000000002,204.03125,204.03125,290.57225,290.57225,468.116125,468.116125,2758.799
7,new_tests_per_thousand,0.0,0.019,0.019,0.043,0.043,0.067,0.067,0.101,0.101,0.15037499999999998,0.15037499999999998,0.213,0.213,0.29,0.29,0.379,0.379,0.49,0.49,0.615,0.615,0.779,0.779,0.994,0.994,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.198625,1.198625,1.547,1.547,2.002,2.002,2.7465,2.7465,4.222125,4.222125,28.716
8,positive_rate,0.0,0.002,0.002,0.006,0.006,0.009,0.009,0.014,0.014,0.018,0.018,0.023,0.023,0.03,0.03,0.038,0.038,0.047,0.047,0.059,0.059,0.071,0.071,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.084,0.084,0.1,0.1,0.12,0.12,0.144,0.144,0.177,0.177,0.226,0.226,0.305,0.305,0.991
9,tests_per_case,1.0,3.3,3.3,4.4,4.4,5.6,5.6,6.9,6.9,8.3,8.3,10.0,10.0,12.0,12.0,14.3,14.3,17.3,17.3,21.7,21.7,27.0,27.0,34.349999999999994,34.349999999999994,43.9,43.9,56.8,56.8,75.1,75.1,111.1,111.1,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,171.35000000000002,171.35000000000002,391.7375,391.7375,37002.3
