,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max,16_min,16_max,17_min,17_max,18_min,18_max,19_min,19_max,20_min,20_max,21_min,21_max,22_min,22_max,23_min,23_max,24_min,24_max,25_min,25_max,26_min,26_max,27_min,27_max,28_min,28_max,29_min,29_max,30_min,30_max,31_min,31_max,32_min,32_max,33_min,33_max,34_min,34_max,35_min,35_max,36_min,36_max,37_min,37_max,38_min,38_max,39_min,39_max,40_min,40_max,41_min,41_max,42_min,42_max,43_min,43_max,44_min,44_max,45_min,45_max,46_min,46_max,47_min,47_max,48_min,48_max,49_min,49_max,50_min,50_max,51_min,51_max,52_min,52_max,53_min,53_max,54_min,54_max,55_min,55_max,56_min,56_max,57_min,57_max,58_min,58_max,59_min,59_max,60_min,60_max,61_min,61_max,62_min,62_max,63_min,63_max
0,Unnamed: 0.1.1,28.0,742.9375,742.9375,1543.875,1543.875,2540.8125,2540.8125,3304.75,3304.75,4106.6875,4106.6875,5131.625,5131.625,5969.5625,5969.5625,7106.5,7106.5,8092.4375,8092.4375,9481.375,9481.375,10325.9375,10325.9375,11102.25,11102.25,12009.1875,12009.1875,12746.125,12746.125,13486.0625,13486.0625,14242.0,14242.0,15412.9375,15412.9375,16145.875,16145.875,17347.8125,17347.8125,18441.75,18441.75,19170.6875,19170.6875,19990.625,19990.625,20755.5625,20755.5625,21806.5,21806.5,22554.4375,22554.4375,23354.375,23354.375,24274.3125,24274.3125,25317.25,25317.25,26079.1875,26079.1875,26859.125,26859.125,27631.0625,27631.0625,28706.0,28706.0,29749.9375,29749.9375,30658.875,30658.875,31642.8125,31642.8125,32461.75,32461.75,33277.6875,33277.6875,34439.625,34439.625,35671.5625,35671.5625,36469.5,36469.5,37505.4375,37505.4375,38401.375,38401.375,39259.3125,39259.3125,40014.25,40014.25,40752.1875,40752.1875,41664.125,41664.125,42402.0625,42402.0625,43152.0,43152.0,44505.9375,44505.9375,45872.875,45872.875,46916.8125,46916.8125,47867.75,47867.75,48770.6875,48770.6875,49540.625,49540.625,50389.5625,50389.5625,51203.5,51203.5,52160.4375,52160.4375,53693.375,53693.375,54426.3125,54426.3125,55310.25,55310.25,56080.1875,56080.1875,57187.125,57187.125,58193.0625,58193.0625,58938.0
1,total_cases_per_million,0.0,2.0146875,2.0146875,6.318375,6.318375,12.165,12.165,22.5155,22.5155,34.744749999999996,34.744749999999996,45.269,45.269,57.41381249999999,57.41381249999999,66.2705,66.2705,82.58962500000001,82.58962500000001,101.13262499999999,101.13262499999999,122.217,122.217,146.001,146.001,173.74062500000002,173.74062500000002,202.078375,202.078375,226.543,226.543,254.027,254.027,277.5435,277.5435,303.085125,303.085125,331.377,331.377,380.34025,380.34025,436.13593749999995,436.13593749999995,500.8405,500.8405,556.0803125,556.0803125,621.174,621.174,687.60875,687.60875,758.037875,758.037875,829.0354375,829.0354375,907.016,907.016,975.07825,975.07825,1049.954,1049.954,1144.4705,1144.4705,1260.399,1260.399,1397.7985625000001,1397.7985625000001,1530.168375,1530.168375,1692.7483124999999,1692.7483124999999,1900.5214999999998,1900.5214999999998,2136.2945625,2136.2945625,2365.477,2365.477,2678.3317500000003,2678.3317500000003,3000.9660000000003,3000.9660000000003,3347.101375,3347.101375,3677.16,3677.16,4009.600625,4009.600625,4354.64175,4354.64175,4769.3565625,4769.3565625,5161.827125,5161.827125,5574.173750000001,5574.173750000001,6203.187,6203.187,6841.736499999999,6841.736499999999,7519.202625,7519.202625,8334.52825,8334.52825,9279.384,9279.384,10218.56,10218.56,11355.774,11355.774,12652.93175,12652.93175,14592.0805,14592.0805,16764.1598125,16764.1598125,19555.629,19555.629,22482.0498125,22482.0498125,26036.96875,26036.96875,30318.7710625,30318.7710625,36092.64625,36092.64625,47094.2181875,47094.2181875,109868.634
2,new_cases_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.042,0.125,0.125,0.244,0.244,0.3843125,0.3843125,0.53,0.53,0.715,0.715,0.896,0.896,1.107,1.107,1.346,1.346,1.5819375,1.5819375,1.867,1.867,2.174,2.174,2.50275,2.50275,2.879,2.879,3.2969999999999997,3.2969999999999997,3.7140000000000004,3.7140000000000004,4.168,4.168,4.658,4.658,5.270125,5.270125,6.013999999999999,6.013999999999999,6.88125,6.88125,7.7655625,7.7655625,8.875375,8.875375,9.993187500000001,9.993187500000001,11.133,11.133,12.458874999999999,12.458874999999999,13.785,13.785,15.34025,15.34025,17.12825,17.12825,19.1206875,19.1206875,21.4665,21.4665,24.05,24.05,26.9145,26.9145,29.8941875,29.8941875,33.472375,33.472375,37.3149375,37.3149375,41.22749999999999,41.22749999999999,45.776562500000004,45.776562500000004,50.597125000000005,50.597125000000005,55.94,55.94,62.251,62.251,68.74749999999999,68.74749999999999,76.389625,76.389625,84.691,84.691,94.06150000000001,94.06150000000001,104.852,104.852,118.21562499999999,118.21562499999999,134.2349375,134.2349375,154.66899999999998,154.66899999999998,175.8375625,175.8375625,201.58275,201.58275,233.4630625,233.4630625,277.421,277.421,349.295625,349.295625,464.5105,464.5105,672.58125,672.58125,3869.799
3,total_deaths_per_million,0.0,0.083875,0.083875,0.173,0.173,0.2948125,0.2948125,0.42,0.42,0.598,0.598,0.845,0.845,1.137,1.137,1.544,1.544,1.971,1.971,2.400375,2.400375,2.851,2.851,3.2582500000000003,3.2582500000000003,3.5940000000000003,3.5940000000000003,4.049,4.049,4.512,4.512,4.957,4.957,5.452,5.452,5.98975,5.98975,6.6678125,6.6678125,7.61875,7.61875,8.470749999999999,8.470749999999999,9.353,9.353,10.403,10.403,11.791,11.791,13.3323125,13.3323125,14.99175,14.99175,16.411,16.411,18.101,18.101,19.647,19.647,21.073375,21.073375,23.812,23.812,26.426,26.426,29.387,29.387,32.716750000000005,32.716750000000005,35.6234375,35.6234375,39.592,39.592,44.78456249999999,44.78456249999999,49.595,49.595,53.5515,53.5515,59.16,59.16,62.922875000000005,62.922875000000005,69.305,69.305,77.042625,77.042625,84.471,84.471,95.676,95.676,106.167375,106.167375,117.2284375,117.2284375,134.805,134.805,155.4825625,155.4825625,175.33937500000002,175.33937500000002,194.253,194.253,210.85475000000002,210.85475000000002,234.713125,234.713125,268.64,268.64,310.220375,310.220375,356.52,356.52,403.46956250000005,403.46956250000005,470.37475,470.37475,570.0775625,570.0775625,616.2642500000001,616.2642500000001,699.754,699.754,808.330125,808.330125,970.685,970.685,1885.792
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.019,0.032,0.032,0.0443125,0.0443125,0.06,0.06,0.076,0.076,0.093,0.093,0.106,0.106,0.124,0.124,0.148,0.148,0.175,0.175,0.196,0.196,0.213,0.213,0.248,0.248,0.288,0.288,0.325,0.325,0.368,0.368,0.423,0.423,0.48,0.48,0.549,0.549,0.617,0.617,0.7071874999999999,0.7071874999999999,0.787,0.787,0.894,0.894,1.013,1.013,1.164,1.164,1.31,1.31,1.487,1.487,1.696,1.696,1.884375,1.884375,2.169625,2.169625,2.4885625,2.4885625,2.856,2.856,3.2863125,3.2863125,3.84,3.84,4.563,4.563,5.438,5.438,6.6563125,6.6563125,8.834625,8.834625,12.715,12.715,218.329
5,reproduction_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.48,0.48,0.58,0.58,0.66,0.66,0.7,0.7,0.73,0.73,0.77,0.77,0.8,0.8,0.83,0.83,0.85,0.85,0.86,0.86,0.88,0.88,0.9,0.9,0.9099999999999999,0.9099999999999999,0.93,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,1.0,1.0,1.01,1.01,1.02,1.02,1.03,1.03,1.04,1.04,1.04,1.04,1.05,1.05,1.06,1.06,1.07,1.07,1.08,1.08,1.09,1.09,1.1,1.1,1.11,1.11,1.12,1.12,1.13,1.13,1.14,1.14,1.15,1.15,1.16,1.16,1.17,1.17,1.18,1.18,1.2,1.2,1.21,1.21,1.23,1.23,1.25,1.25,1.26,1.26,1.28,1.28,1.3,1.3,1.33,1.33,1.36,1.36,1.39,1.39,1.43,1.43,1.47,1.47,1.54,1.54,1.66,1.66,1.91,1.91,6.74
6,total_tests_per_thousand,0.001,0.27293750000000006,0.27293750000000006,0.809875,0.809875,1.5958125,1.5958125,2.448,2.448,3.3816875,3.3816875,4.574375,4.574375,6.051562499999999,6.051562499999999,7.692,7.692,9.3184375,9.3184375,11.12475,11.12475,13.1243125,13.1243125,15.18825,15.18825,17.5641875,17.5641875,20.601875,20.601875,24.3543125,24.3543125,28.486,28.486,33.034749999999995,33.034749999999995,38.632000000000005,38.632000000000005,45.1404375,45.1404375,52.344249999999995,52.344249999999995,59.957625,59.957625,68.98525000000001,68.98525000000001,79.24175,79.24175,91.57650000000001,91.57650000000001,107.46981249999999,107.46981249999999,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056192,115.03709591056192,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056193,115.03709591056193,115.03709591056193,115.03709591056193,124.60118750000001,124.60118750000001,148.01100000000002,148.01100000000002,173.37318750000003,173.37318750000003,204.03125,204.03125,243.066,243.066,290.57225,290.57225,362.26300000000003,362.26300000000003,468.116125,468.116125,702.2639999999999,702.2639999999999,2758.799
7,new_tests_per_thousand,0.0,0.008,0.008,0.019,0.019,0.032,0.032,0.043,0.043,0.055,0.055,0.067,0.067,0.082,0.082,0.101,0.101,0.122,0.122,0.15037499999999998,0.15037499999999998,0.18,0.18,0.213,0.213,0.247,0.247,0.29,0.29,0.335,0.335,0.379,0.379,0.428,0.428,0.49,0.49,0.552,0.552,0.615,0.615,0.687,0.687,0.779,0.779,0.88,0.88,0.994,0.994,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.198625,1.198625,1.35,1.35,1.547,1.547,1.7514374999999998,1.7514374999999998,2.002,2.002,2.313625,2.313625,2.7465,2.7465,3.3191875,3.3191875,4.222125,4.222125,6.191062499999999,6.191062499999999,28.716
8,positive_rate,0.0,0.001,0.001,0.002,0.002,0.004,0.004,0.006,0.006,0.008,0.008,0.009,0.009,0.011,0.011,0.014,0.014,0.016,0.016,0.018,0.018,0.02,0.02,0.023,0.023,0.026,0.026,0.03,0.03,0.033,0.033,0.038,0.038,0.042,0.042,0.047,0.047,0.052,0.052,0.059,0.059,0.064,0.064,0.071,0.071,0.078,0.078,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.084,0.084,0.092,0.092,0.1,0.1,0.11,0.11,0.12,0.12,0.131,0.131,0.144,0.144,0.16,0.16,0.177,0.177,0.2,0.2,0.226,0.226,0.259,0.259,0.305,0.305,0.368,0.368,0.991
9,tests_per_case,1.0,2.7,2.7,3.3,3.3,3.8999999999999995,3.8999999999999995,4.4,4.4,5.0,5.0,5.6,5.6,6.3,6.3,6.9,6.9,7.6,7.6,8.3,8.3,9.1,9.1,10.0,10.0,10.900000000000002,10.900000000000002,12.0,12.0,13.1,13.1,14.3,14.3,15.7,15.7,17.3,17.3,19.4,19.4,21.7,21.7,24.3,24.3,27.0,27.0,30.5,30.5,34.349999999999994,34.349999999999994,38.7,38.7,43.9,43.9,50.13125,50.13125,56.8,56.8,65.2,65.2,75.1,75.1,90.9,90.9,111.1,111.1,138.3,138.3,165.53841979976195,165.53841979976195,165.53841979976193,165.53841979976193,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976193,165.53841979976193,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976193,165.53841979976193,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,171.35000000000002,171.35000000000002,235.0,235.0,391.7375,391.7375,844.01875,844.01875,37002.3
