,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
0,Unnamed: 0.1.1,28.0,7106.5,7106.5,14242.0,14242.0,21806.5,21806.5,28706.0,28706.0,36469.5,36469.5,43152.0,43152.0,51203.5,51203.5,58938.0
1,total_cases_per_million,0.0,66.2705,66.2705,254.027,254.027,621.174,621.174,1260.399,1260.399,3000.9660000000003,3000.9660000000003,6203.187,6203.187,14592.0805,14592.0805,109868.634
2,new_cases_per_million,0.0,0.042,0.042,1.346,1.346,4.168,4.168,11.133,11.133,26.9145,26.9145,62.251,62.251,154.66899999999998,154.66899999999998,3869.799
3,total_deaths_per_million,0.0,1.544,1.544,4.957,4.957,11.791,11.791,26.426,26.426,59.16,59.16,134.805,134.805,356.52,356.52,1885.792
4,new_deaths_per_million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.124,0.368,0.368,1.013,1.013,2.856,2.856,218.329
5,reproduction_rate,0.0,0.3,0.3,0.83,0.83,0.95,0.95,1.03,1.03,1.1,1.1,1.18,1.18,1.33,1.33,6.74
6,total_tests_per_thousand,0.001,7.692,7.692,28.486,28.486,91.57650000000001,91.57650000000001,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,115.03709591056192,148.01100000000002,148.01100000000002,2758.799
7,new_tests_per_thousand,0.0,0.101,0.101,0.379,0.379,0.994,0.994,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.131613484377855,1.547,1.547,28.716
8,positive_rate,0.0,0.014,0.014,0.038,0.038,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.0828421397079085,0.144,0.144,0.991
9,tests_per_case,1.0,6.9,6.9,14.3,14.3,34.349999999999994,34.349999999999994,111.1,111.1,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,165.53841979976195,37002.3
10,stringency_index,0.0,40.74,40.74,50.93,50.93,59.30578060516156,59.30578060516156,62.96,62.96,70.83,70.83,77.78,77.78,84.26,84.26,100.0
